PERMNO,RP_ENTITY_ID
13559,8B8111
13560,210D80
13561,D83EBD
13563,D5941D
13564,376C75
13567,97644E
13569,87B964
13576,9CAEE5
13577,E69BA5
13579,8DAAB9
13580,B9782E
13583,2AC0C1
13584,7FA446
13585,C5EA40
13594,3AD771
13596,664AA2
13597,D86B04
13598,EABF99
13599,6182E5
13600,CDE51C
13603,A9C531
13604,CA3CB9
13610,C16A8F
13614,549BBA
13615,1A8D5C
13616,F8A506
13617,E074F6
13618,190100
13621,1CD09C
13622,B5BA39
13625,CC176E
13627,6EA6D8
13628,4B7006
13631,4E198E
13633,10BB01
13634,E0C874
13636,C24169
13639,560058
13640,C81637
13641,E15736
13642,7F5F40
13643,83B1C8
13644,C5ADBC
13647,683A14
13648,AD811C
13649,58A15E
13650,92CC92
13652,80A3B6
13655,EA775F
13656,7605DE
13658,AC6B99
13678,F5EDB9
13680,C89E05
13681,27B90F
13687,A6FB29
13688,652E62
13690,BD93DA
13691,39E412
13692,5E83CF
13693,BF93F8
13694,954A47
13695,F2DC64
13698,A52633
13699,4937AA
13700,0DCF30
13701,878396
13702,0A82B1
13703,F2AF26
13704,C85A72
13705,01C3E5
13707,F2208B
13708,396E10
13711,ABF7CD
13712,D29F43
13713,6ABD3B
13714,A96DB7
13721,665D7D
13723,E61888
13730,3DDE54
13732,BEAA99
13735,EFCFCD
13736,BCB863
13737,5A9648
13738,FD8EAF
13739,72C2CE
13740,C3BBED
13743,A05C43
13747,EEFE45
13748,F0B877
13749,0EEA3A
13750,C5A764
13751,28AA72
13752,C9D866
13754,7F7EDB
13755,86B99A
13756,9EBAFA
13757,B803B1
13758,B803B1
13759,AF1AD8
13760,56CC0A
13761,5DBC98
13763,86ACF2
13766,6BD606
13769,BB13B3
13773,F7C41F
13775,BD682F
13777,73F70F
13783,5E3C1A
13786,6CB9D8
13787,DF5F14
13788,C03C8B
13789,B040DB
13790,768BE0
13791,48B0D2
13794,4B8D5C
13796,CC3EC4
13797,5B97B2
13798,CA616E
13799,9D307D
13800,999158
13802,373B06
13803,39AF16
13809,E81C64
13812,7DDF82
13816,B54A74
13818,B5D943
13819,E87C8C
13820,3AD326
13821,E79383
13823,32A4E8
13824,4CE755
13825,2ABF77
13826,95E595
13827,FAE0C9
13828,5FFD9A
13829,FB19A9
13830,7D2CCA
13831,1350CE
13832,44F9E4
13837,3B5606
13843,16C544
13844,EBD988
13856,013528
13858,08B5B4
13860,858942
13861,ED5C32
13862,731675
13863,5968F9
13867,B88FDB
13869,B8B9A6
13870,96A6CD
13874,8B4CDE
13875,31A5D5
13876,0325B7
13877,8E93A4
13878,D683EC
13879,6FFE1F
13882,E35653
13883,A52302
13885,56F8E2
13886,7D064F
13887,54A713
13889,4A8AB0
13890,3C3B6B
13891,C45590
13894,8AC740
13895,6CD267
13896,AE74F7
13901,2BA977
13903,810CC2
13904,C2609A
13906,302325
13907,92D9C9
13908,6F92A9
13909,87E9D9
13911,7E3F8F
13914,C19526
13915,413C36
13918,6DECE5
13919,966DBE
13920,8065BC
13921,FF4343
13923,F1F438
13924,5A53BF
13926,835DB6
13927,67FB79
13928,534E72
13928,FE89E0
13931,59B688
13932,96F531
13933,3B9FC5
13934,DD89DE
13935,59A832
13936,414FFF
13938,CDA028
13939,DCBE4D
13940,488039
13941,EF8F50
13942,C4509E
13943,27BFA1
13946,3911C5
13947,67303E
13949,87B81A
13954,F0B335
13956,6634D9
13957,7C219D
13958,3F11F1
13959,E754F0
13962,3DD5E2
13963,DD1BA1
13964,DD1BA1
13965,F209B4
13966,AB5A36
13967,CAB222
13969,383ADA
13970,AF8976
13976,E01B06
13977,0FBA4F
13978,19973C
13982,FDC910
13983,F18844
13987,0FDEEB
13992,1696AD
13993,4A3438
13998,924E1E
13999,AB16FC
14003,4A7814
14004,CC3AA7
14005,FBC9E3
14006,29BB8D
14008,76F067
14009,012BBE
14010,C6B31D
14017,433710
14019,EB8B9A
14026,903A58
14029,6D2BBF
14030,56765E
14033,68D31D
14034,F103C0
14035,CADDD5
14036,6F30F9
14037,EFDADF
14039,76D79A
14040,047E26
14041,056498
14042,672338
14043,3D32B5
14044,451D61
14045,B2D492
14046,8AE457
14049,E7CE45
14050,92CDC0
14051,57B00D
14052,DB4DFF
14053,F8DC91
14054,9978F1
14055,F10C7F
14056,446A70
14057,D1C734
14059,B305CA
14060,C5C319
14061,ED3CA8
14062,CE8026
14063,954BB5
14065,7B94EF
14071,AA1EAA
14072,546A27
14075,469A7F
14076,8DCBBB
14077,FD4553
14086,6954D6
14087,576CEB
14088,0C0597
14092,A9AF01
14093,C21C54
14094,68EC8B
14095,1F262C
14097,9645E6
14099,7BC92D
14101,D3C29E
14102,1B9535
14105,1FA685
14106,D5BF98
14107,6B95E8
14127,CBDFEC
14131,BB0410
14132,F798D3
14133,5C403C
14134,D388BF
14135,66C815
14136,85DA04
14137,A8D7FC
14140,DBF850
14141,2E360C
14143,4349A5
14145,48F795
14148,45FFFD
14149,9470CC
14150,920A7E
14151,5FC167
14152,504457
14153,68E021
14154,F353ED
14158,0B828A
14159,E30A8F
14160,81D19A
14161,202E5A
14164,C2883B
14165,BB0A82
14166,0F2BC9
