permno,rp_entity_id
14942,CDAB24
14943,CCBBAD
14944,BC948D
14951,E82A2D
14953,51B442
14959,69B107
14960,FD4BBE
14970,4458AA
14973,55B708
14981,60B2D2
14983,E35610
14985,B85DCE
14986,4F1895
14987,33057B
14988,BC948D
14989,C823C8
14991,6B6375
14995,4C3FE9
15002,174023
15010,3631B9
15011,A148BB
15013,FBAB9F
15014,BDF85E
15015,EA79C7
15016,71553E
15017,0FE8A8
15020,A490CB
15022,1FE3CB
15028,F32EA4
15046,2E89AE
15047,F6C03A
15048,801A30
15053,45CF5C
15054,1D0E24
15056,D07B07
15057,7C9FE3
15058,7AF907
15059,9ABD30
15060,9BCC1E
15061,DF0977
15062,48C7A3
15064,DF11D9
15065,002A99
15067,61A586
15069,902670
15070,54A646
15072,68586A
15082,97AE40
15084,1748B3
15087,5B3FA2
15089,2C9575
15092,D3CEDF
15099,C87118
15113,4D9669
15119,CB7AB2
15125,77E2F8
15126,B46E73
15127,B98EFA
15129,B5AD76
15132,B35ED4
15133,118413
15135,BA7CF0
15136,B7809C
15139,69CDDC
15140,53814C
15141,02275F
15142,790D0D
15144,98308D
15145,F02170
15164,6C31C7
15167,E67C2C
15168,3FBC9B
15169,053345
15170,1B298D
15171,A6BE37
15172,A8E568
15175,C672E9
15177,02FB8E
15178,075CF7
15181,626DB8
15184,E94202
15186,A98B8F
15188,8D54D2
15194,1834C0
15196,BDA775
15198,B48FC9
15202,57B174
15203,796BC0
15215,FE609F
15216,967D92
15218,05D148
15219,621203
15221,E68E62
15222,458F49
15226,B4528F
15231,0F65C9
15244,C1C985
15254,62A48D
15264,CB9E13
15268,EA680F
15269,F35729
15271,4B5791
15272,73F28D
15273,64DE3B
15277,21B8F3
15278,ABA95A
15279,747219
15284,401072
15285,C74887
15286,C36189
15287,E71AE6
15291,FF4C20
15293,E0F4E5
15294,2C8DBC
15295,38F8A9
15297,0EEDBE
15298,3FE849
15302,157D9F
15303,24FA23
15305,D5668D
15313,4E6CA0
15315,0A0D9E
15318,453282
15323,B934BF
15324,B5A12B
15331,F33B3C
15332,56765E
15336,2AF764
15338,9D3360
15340,893AAA
15343,56FB7C
15351,C298CD
15358,736B94
15361,E78692
15364,BA76B6
15365,11C088
15367,1FCCC7
15371,B7202A
15372,7CF50A
15373,DCA2E8
15374,67A274
15375,92AA5B
15378,EE8935
15379,B2C08A
15380,63DF76
15381,D67517
15382,DACCBE
15383,5186C8
15386,7B083A
15395,6BDA0C
15396,24A92E
15397,F3016C
15398,73A71F
15399,B28367
15400,0A6824
15408,C356AC
15409,4BEB48
15410,D06996
15416,71B0CF
15417,CF728E
15423,4CE755
15425,3A3D40
15429,43E8F5
15431,2CC71C
15432,FC1044
15433,196D18
15436,399206
15440,21022F
15443,2F9F14
15449,B8F00A
15452,82F088
15454,E19A99
15455,723548
15456,0CE7F6
15457,297DA8
15477,072A8F
15478,B37FB4
15488,03CF95
15489,9C1A4E
15490,092C47
15491,BA7461
15493,A851C2
15505,FC9A88
15506,AC3584
15508,4EE55A
15509,B9FE53
15510,3FB3D7
15525,D697DE
15526,309367
15527,D7A953
15530,C037A8
15533,33570F
15534,CBDB4D
15535,99FC27
15537,8E9091
15539,989E2F
15540,3B37F7
15541,B1DF3C
15542,32E262
15543,994440
15546,6BC6F9
15577,68B814
15579,39BFF6
15580,D3AEE4
15582,3EE65E
